2018-12-05 12:40:08 64 bytes from 8.8.8.8: icmp_seq=84 ttl=118 time=59.8 ms
2018-12-05 12:40:09 64 bytes from 8.8.8.8: icmp_seq=85 ttl=118 time=45.9 ms
2018-12-05 12:40:10 64 bytes from 8.8.8.8: icmp_seq=86 ttl=118 time=38.8 ms
2018-12-05 12:40:11 64 bytes from 8.8.8.8: icmp_seq=87 ttl=118 time=31.6 ms
2018-12-05 12:40:12 64 bytes from 8.8.8.8: icmp_seq=88 ttl=118 time=62.9 ms
2018-12-05 12:40:13 64 bytes from 8.8.8.8: icmp_seq=89 ttl=118 time=29.9 ms
2018-12-05 12:40:14 64 bytes from 8.8.8.8: icmp_seq=90 ttl=118 time=48.6 ms
2018-12-05 12:40:15 64 bytes from 8.8.8.8: icmp_seq=91 ttl=118 time=33.1 ms
2018-12-05 12:40:16 64 bytes from 8.8.8.8: icmp_seq=92 ttl=118 time=29.2 ms
2018-12-05 12:40:17 64 bytes from 8.8.8.8: icmp_seq=93 ttl=118 time=41.2 ms
2018-12-05 12:40:18 64 bytes from 8.8.8.8: icmp_seq=94 ttl=118 time=27.6 ms
2018-12-05 12:40:19 64 bytes from 8.8.8.8: icmp_seq=95 ttl=118 time=39.7 ms
2018-12-05 12:40:20 64 bytes from 8.8.8.8: icmp_seq=96 ttl=118 time=30.4 ms
2018-12-05 12:40:21 64 bytes from 8.8.8.8: icmp_seq=97 ttl=118 time=35.9 ms
2018-12-05 12:40:22 64 bytes from 8.8.8.8: icmp_seq=98 ttl=118 time=47.2 ms
2018-12-05 12:40:23 64 bytes from 8.8.8.8: icmp_seq=99 ttl=118 time=32.9 ms
2018-12-05 12:40:24 64 bytes from 8.8.8.8: icmp_seq=100 ttl=118 time=40.8 ms
2018-12-05 12:40:25 64 bytes from 8.8.8.8: icmp_seq=101 ttl=118 time=32.7 ms
2018-12-05 12:40:26 64 bytes from 8.8.8.8: icmp_seq=102 ttl=118 time=34.0 ms
2018-12-05 12:40:27 64 bytes from 8.8.8.8: icmp_seq=103 ttl=118 time=33.9 ms
2018-12-05 12:40:28 64 bytes from 8.8.8.8: icmp_seq=104 ttl=118 time=109 ms
2018-12-05 12:40:29 64 bytes from 8.8.8.8: icmp_seq=105 ttl=118 time=62.4 ms
2018-12-05 12:40:30 64 bytes from 8.8.8.8: icmp_seq=106 ttl=118 time=43.2 ms
2018-12-05 12:40:31 64 bytes from 8.8.8.8: icmp_seq=107 ttl=118 time=37.2 ms
2018-12-05 12:40:32 64 bytes from 8.8.8.8: icmp_seq=108 ttl=118 time=29.0 ms
2018-12-05 12:40:33 64 bytes from 8.8.8.8: icmp_seq=109 ttl=118 time=44.2 ms
2018-12-05 12:40:34 64 bytes from 8.8.8.8: icmp_seq=110 ttl=118 time=30.8 ms
2018-12-05 12:40:35 64 bytes from 8.8.8.8: icmp_seq=111 ttl=118 time=30.1 ms
2018-12-05 12:40:36 64 bytes from 8.8.8.8: icmp_seq=112 ttl=118 time=39.1 ms
2018-12-05 12:40:37 64 bytes from 8.8.8.8: icmp_seq=113 ttl=118 time=53.6 ms
2018-12-05 12:40:38 64 bytes from 8.8.8.8: icmp_seq=114 ttl=118 time=73.8 ms
2018-12-05 12:40:39 64 bytes from 8.8.8.8: icmp_seq=115 ttl=118 time=41.7 ms
2018-12-05 12:40:40 64 bytes from 8.8.8.8: icmp_seq=116 ttl=118 time=37.0 ms
2018-12-05 12:40:41 64 bytes from 8.8.8.8: icmp_seq=117 ttl=118 time=31.8 ms
2018-12-05 12:40:42 64 bytes from 8.8.8.8: icmp_seq=118 ttl=118 time=61.9 ms
2018-12-05 12:40:43 64 bytes from 8.8.8.8: icmp_seq=119 ttl=118 time=104 ms
2018-12-05 12:40:44 64 bytes from 8.8.8.8: icmp_seq=120 ttl=118 time=33.5 ms
2018-12-05 12:40:45 64 bytes from 8.8.8.8: icmp_seq=121 ttl=118 time=41.4 ms
2018-12-05 12:40:46 64 bytes from 8.8.8.8: icmp_seq=122 ttl=118 time=41.2 ms
2018-12-05 12:40:47 64 bytes from 8.8.8.8: icmp_seq=123 ttl=118 time=57.6 ms
2018-12-05 12:40:48 64 bytes from 8.8.8.8: icmp_seq=124 ttl=118 time=31.1 ms
2018-12-05 12:40:49 64 bytes from 8.8.8.8: icmp_seq=125 ttl=118 time=30.9 ms
2018-12-05 12:40:50 64 bytes from 8.8.8.8: icmp_seq=126 ttl=118 time=67.3 ms
2018-12-05 12:40:51 64 bytes from 8.8.8.8: icmp_seq=127 ttl=118 time=78.3 ms
2018-12-05 12:40:52 64 bytes from 8.8.8.8: icmp_seq=128 ttl=118 time=29.3 ms
2018-12-05 12:40:53 64 bytes from 8.8.8.8: icmp_seq=129 ttl=118 time=196 ms
2018-12-05 12:40:54 64 bytes from 8.8.8.8: icmp_seq=130 ttl=118 time=45.1 ms
2018-12-05 12:40:55 64 bytes from 8.8.8.8: icmp_seq=131 ttl=118 time=43.1 ms
2018-12-05 12:40:56 64 bytes from 8.8.8.8: icmp_seq=132 ttl=118 time=38.3 ms
2018-12-05 12:40:57 64 bytes from 8.8.8.8: icmp_seq=133 ttl=118 time=33.9 ms
2018-12-05 12:40:58 64 bytes from 8.8.8.8: icmp_seq=134 ttl=118 time=77.3 ms
2018-12-05 12:40:59 64 bytes from 8.8.8.8: icmp_seq=135 ttl=118 time=37.8 ms
2018-12-05 12:41:00 64 bytes from 8.8.8.8: icmp_seq=136 ttl=118 time=29.3 ms
2018-12-05 12:41:01 64 bytes from 8.8.8.8: icmp_seq=137 ttl=118 time=29.2 ms
2018-12-05 12:41:02 64 bytes from 8.8.8.8: icmp_seq=138 ttl=118 time=32.9 ms
2018-12-05 12:41:03 64 bytes from 8.8.8.8: icmp_seq=139 ttl=118 time=40.6 ms
2018-12-05 12:41:04 64 bytes from 8.8.8.8: icmp_seq=140 ttl=118 time=46.6 ms
2018-12-05 12:41:05 64 bytes from 8.8.8.8: icmp_seq=141 ttl=118 time=63.5 ms
2018-12-05 12:41:06 64 bytes from 8.8.8.8: icmp_seq=142 ttl=118 time=100 ms
2018-12-05 12:41:07 64 bytes from 8.8.8.8: icmp_seq=143 ttl=118 time=33.7 ms
2018-12-05 12:41:08 64 bytes from 8.8.8.8: icmp_seq=144 ttl=118 time=30.6 ms
2018-12-05 12:41:09 64 bytes from 8.8.8.8: icmp_seq=145 ttl=118 time=37.1 ms
2018-12-05 12:41:10 64 bytes from 8.8.8.8: icmp_seq=146 ttl=118 time=31.1 ms
2018-12-05 12:41:11 64 bytes from 8.8.8.8: icmp_seq=147 ttl=118 time=31.6 ms
2018-12-05 12:41:12 64 bytes from 8.8.8.8: icmp_seq=148 ttl=118 time=32.2 ms
2018-12-05 12:41:13 64 bytes from 8.8.8.8: icmp_seq=149 ttl=118 time=42.2 ms
2018-12-05 12:41:14 64 bytes from 8.8.8.8: icmp_seq=150 ttl=118 time=30.8 ms
2018-12-05 12:41:15 64 bytes from 8.8.8.8: icmp_seq=151 ttl=118 time=59.5 ms
2018-12-05 12:41:16 64 bytes from 8.8.8.8: icmp_seq=152 ttl=118 time=31.3 ms
2018-12-05 12:41:17 64 bytes from 8.8.8.8: icmp_seq=153 ttl=118 time=27.3 ms
2018-12-05 12:41:18 64 bytes from 8.8.8.8: icmp_seq=154 ttl=118 time=59.9 ms
2018-12-05 12:41:19 64 bytes from 8.8.8.8: icmp_seq=155 ttl=118 time=27.8 ms
2018-12-05 12:41:20 64 bytes from 8.8.8.8: icmp_seq=156 ttl=118 time=29.8 ms
2018-12-05 12:41:21 64 bytes from 8.8.8.8: icmp_seq=157 ttl=118 time=29.1 ms
2018-12-05 12:41:22 64 bytes from 8.8.8.8: icmp_seq=158 ttl=118 time=39.9 ms
2018-12-05 12:41:23 64 bytes from 8.8.8.8: icmp_seq=159 ttl=118 time=69.5 ms
2018-12-05 12:41:24 64 bytes from 8.8.8.8: icmp_seq=160 ttl=118 time=27.6 ms
2018-12-05 12:41:25 64 bytes from 8.8.8.8: icmp_seq=161 ttl=118 time=29.6 ms
2018-12-05 12:41:26 64 bytes from 8.8.8.8: icmp_seq=162 ttl=118 time=57.4 ms
2018-12-05 12:41:27 64 bytes from 8.8.8.8: icmp_seq=163 ttl=118 time=49.1 ms
2018-12-05 12:41:28 64 bytes from 8.8.8.8: icmp_seq=164 ttl=118 time=36.9 ms
2018-12-05 12:41:29 64 bytes from 8.8.8.8: icmp_seq=165 ttl=118 time=28.6 ms
2018-12-05 12:41:30 64 bytes from 8.8.8.8: icmp_seq=166 ttl=118 time=32.1 ms
2018-12-05 12:41:31 64 bytes from 8.8.8.8: icmp_seq=167 ttl=118 time=34.9 ms
2018-12-05 12:41:32 64 bytes from 8.8.8.8: icmp_seq=168 ttl=118 time=30.9 ms
2018-12-05 12:41:33 64 bytes from 8.8.8.8: icmp_seq=169 ttl=118 time=69.4 ms
2018-12-05 12:41:34 64 bytes from 8.8.8.8: icmp_seq=170 ttl=118 time=30.0 ms
2018-12-05 12:41:35 64 bytes from 8.8.8.8: icmp_seq=171 ttl=118 time=27.7 ms
2018-12-05 12:41:36 64 bytes from 8.8.8.8: icmp_seq=172 ttl=118 time=63.2 ms
2018-12-05 12:41:37 64 bytes from 8.8.8.8: icmp_seq=173 ttl=118 time=32.2 ms
2018-12-05 12:41:38 64 bytes from 8.8.8.8: icmp_seq=174 ttl=118 time=29.0 ms
2018-12-05 12:41:39 64 bytes from 8.8.8.8: icmp_seq=175 ttl=118 time=29.7 ms
2018-12-05 12:41:40 64 bytes from 8.8.8.8: icmp_seq=176 ttl=118 time=33.3 ms
2018-12-05 12:41:41 64 bytes from 8.8.8.8: icmp_seq=177 ttl=118 time=36.2 ms
